Time,T1,T2,Q1,Q2
0,20.949499999999997,20.949499999999997,50,0
1.0,20.949499999999997,20.949499999999997,50,0
2.0,20.949499999999997,20.949499999999997,50,0
3.0,20.949499999999997,20.949499999999997,50,0
4.0,20.949499999999997,20.949499999999997,50,0
5.0,20.949499999999997,20.949499999999997,50,0
6.0,20.949499999999997,20.949499999999997,50,0
7.0,20.949499999999997,20.949499999999997,50,0
8.0,20.949499999999997,20.949499999999997,50,0
9.0,21.2718,20.949499999999997,50,0
10.0,21.594099999999997,20.949499999999997,50,0
11.0,21.2718,20.949499999999997,50,0
12.0,21.594099999999997,20.949499999999997,50,0
13.0,21.594099999999997,20.949499999999997,50,0
14.0,21.9164,20.949499999999997,50,0
15.0,21.9164,20.949499999999997,50,0
16.0,21.9164,20.949499999999997,50,0
17.0,22.238699999999998,20.949499999999997,50,0
18.0,22.238699999999998,20.949499999999997,50,0
19.0,22.238699999999998,20.949499999999997,50,0
20.0,22.561,20.949499999999997,50,0
21.0,22.561,20.949499999999997,50,0
22.0,22.8833,20.949499999999997,50,0
23.0,22.8833,20.949499999999997,50,0
24.0,22.8833,20.949499999999997,50,0
25.0,23.205599999999997,20.949499999999997,50,0
26.0,23.5279,20.949499999999997,50,0
27.0,23.5279,20.949499999999997,50,0
28.0,23.5279,20.949499999999997,50,0
29.0,23.850199999999997,20.949499999999997,50,0
30.0,23.850199999999997,20.949499999999997,50,0
31.0,24.1725,20.949499999999997,50,0
32.0,24.1725,21.2718,50,0
33.0,24.494799999999998,21.2718,50,0
34.0,24.494799999999998,20.949499999999997,50,0
35.0,24.817099999999996,21.2718,50,0
36.0,24.817099999999996,21.2718,50,0
37.0,25.1394,21.2718,50,0
38.0,25.1394,21.2718,50,0
39.0,25.461699999999997,21.2718,50,0
40.0,25.461699999999997,21.2718,50,0
41.0,25.784,21.2718,50,0
42.0,25.784,21.2718,50,0
43.0,26.106299999999997,21.2718,50,0
44.0,26.106299999999997,21.2718,50,0
45.0,26.4286,21.2718,50,0
46.0,26.4286,21.2718,50,0
47.0,26.750899999999998,21.2718,50,0
48.0,26.750899999999998,21.2718,50,0
49.0,27.073199999999996,21.594099999999997,50,0
50.0,27.073199999999996,21.594099999999997,60,0
51.0,27.073199999999996,21.594099999999997,60,0
52.0,27.3955,21.594099999999997,60,0
53.0,27.717799999999997,21.594099999999997,60,0
54.0,27.717799999999997,21.594099999999997,60,0
55.0,28.0401,21.594099999999997,60,0
56.0,28.0401,21.594099999999997,60,0
57.0,28.362399999999997,21.594099999999997,60,0
58.0,28.362399999999997,21.594099999999997,60,0
59.0,28.6847,21.594099999999997,60,0
60.0,28.6847,21.594099999999997,60,0
61.0,29.006999999999998,21.9164,60,0
62.0,29.006999999999998,21.9164,60,0
63.0,29.329299999999996,21.9164,60,0
64.0,29.329299999999996,21.9164,60,0
65.0,29.6516,21.9164,60,0
66.0,29.6516,21.9164,60,0
67.0,29.973899999999997,21.9164,60,0
68.0,29.973899999999997,21.9164,60,0
69.0,30.2962,21.9164,60,0
70.0,30.2962,21.9164,60,0
71.0,30.618499999999997,21.9164,60,0
72.0,30.618499999999997,22.238699999999998,60,0
73.0,30.940799999999996,22.238699999999998,60,0
74.0,30.940799999999996,22.238699999999998,60,0
75.0,31.263099999999998,22.238699999999998,60,0
76.0,31.263099999999998,22.238699999999998,60,0
77.0,31.585399999999996,22.238699999999998,60,0
78.0,31.585399999999996,22.238699999999998,60,0
79.0,31.9077,22.238699999999998,60,0
80.0,32.23,22.238699999999998,60,0
81.0,32.23,22.238699999999998,60,0
82.0,32.552299999999995,22.238699999999998,60,0
83.0,32.552299999999995,22.238699999999998,60,0
84.0,32.8746,22.238699999999998,60,0
85.0,32.8746,22.238699999999998,60,0
86.0,33.1969,22.561,60,0
87.0,33.1969,22.238699999999998,60,0
88.0,33.5192,22.561,60,0
89.0,33.5192,22.561,60,0
90.0,33.841499999999996,22.561,60,0
91.0,33.841499999999996,22.561,60,0
92.0,34.163799999999995,22.561,60,0
93.0,34.163799999999995,22.561,60,0
94.0,34.4861,22.561,60,0
95.0,34.4861,22.561,60,0
96.0,34.8084,22.8833,60,0
97.0,34.8084,22.8833,60,0
98.0,35.1307,22.8833,60,0
99.0,35.1307,22.8833,60,0
100.0,35.1307,22.8833,60,0
101.0,35.452999999999996,22.8833,60,0
102.0,35.452999999999996,22.8833,60,0
103.0,35.775299999999994,22.8833,60,0
104.0,35.775299999999994,22.8833,60,0
105.0,36.0976,22.8833,60,0
106.0,36.0976,22.8833,60,0
107.0,36.4199,23.205599999999997,60,0
108.0,36.4199,22.8833,60,0
109.0,36.7422,23.205599999999997,60,0
110.0,36.7422,23.205599999999997,60,0
111.0,37.064499999999995,22.8833,60,0
112.0,37.064499999999995,23.205599999999997,60,0
113.0,37.064499999999995,23.205599999999997,60,0
114.0,37.386799999999994,23.205599999999997,60,0
115.0,37.386799999999994,23.205599999999997,60,0
116.0,37.386799999999994,23.205599999999997,60,0
117.0,37.7091,23.205599999999997,60,0
118.0,38.0314,23.205599999999997,60,0
119.0,38.0314,23.205599999999997,60,0
120.0,38.0314,23.205599999999997,60,0
121.0,38.353699999999996,23.205599999999997,60,0
122.0,38.353699999999996,23.205599999999997,60,0
123.0,38.353699999999996,23.205599999999997,60,0
124.0,38.675999999999995,23.5279,60,0
125.0,38.675999999999995,23.5279,60,0
126.0,38.9983,23.5279,60,0
127.0,38.9983,23.5279,60,0
128.0,39.3206,23.5279,60,0
129.0,39.3206,23.5279,60,0
130.0,39.3206,23.5279,60,0
